produto;fornecedor;produto_nome;categoria;sub_categoria
P5=XKJ/(X`_3M^G%WVCL%-;Fornecedor 98;Produto 9020;Categoria 2;Subcategoria C2.2
C=HPH!<:',144R-:N/W!_#;Fornecedor 116;Produto 9021;Categoria 2;Subcategoria C2.2
MOZAZ/GF5*??`4S^7RB:4+;Fornecedor 87;Produto 9022;Categoria 1;Subcategoria C1.1
"P;]9D3\O&QM=A\TV,.E^9,";Fornecedor 32;Produto 9023;Categoria 2;Subcategoria C2.2
MO:99*O)*SX?`<`/FQ`7B*;Fornecedor 87;Produto 9024;Categoria 1;Subcategoria C1.1
"P;U',2NX3+D=AJA29N-O!/";Fornecedor 32;Produto 9025;Categoria 2;Subcategoria C2.2
PS00SU3TF6VSXWU&H?D]R#;Fornecedor 96;Produto 9026;Categoria 2;Subcategoria C2.2
"M""JR2I:,EVYIK%;90FBI0,";Fornecedor 116;Produto 9027;Categoria 2;Subcategoria C2.2
"NBJ4@%_>""^VA:>1.2*7SQ%";Fornecedor 127;Produto 9028;Categoria 5;Subcategoria C5.3
MOR@D9)IY2B?`2Z\`0'&8,;Fornecedor 87;Produto 9029;Categoria 1;Subcategoria C1.1
MOZR\:7@LXK?`D-ATP>UF.;Fornecedor 87;Produto 9030;Categoria 1;Subcategoria C1.1
"MVF37M!,P>)IF8KSZ(`V?""";Fornecedor 32;Produto 9031;Categoria 2;Subcategoria C2.2
M-&P*?5X<1R_+T@*'\M^D0;Fornecedor 87;Produto 9032;Categoria 1;Subcategoria C1.1
"MDFV:;ZQ05P)@X`Q4\N48$";Fornecedor 32;Produto 9033;Categoria 2;Subcategoria C2.2
"P-#.2;*>+)V3_/3W_L7BL""";Fornecedor 93;Produto 9034;Categoria 2;Subcategoria C2.2
P-K7)7@XR793_99*E-1TV0;Fornecedor 93;Produto 9035;Categoria 2;Subcategoria C2.2
PO_1:-J#WGLSAO4<DK4#1&;Fornecedor 26;Produto 9036;Categoria 2;Subcategoria C2.2
CWB`?H@[>D:TQ2,U)1Z@:0;Fornecedor 114;Produto 9037;Categoria 2;Subcategoria C2.2
M5<K%S3H#W_=#2_PD==3*.;Fornecedor 30;Produto 9038;Categoria 2;Subcategoria C2.2
"CPZGQ#FT_[A""5#N.!$[,L*";Fornecedor 162;Produto 9039;Categoria 7;Subcategoria C7.1
CN&%O)C:[V5BR_%AU%/M@';Fornecedor 170;Produto 9040;Categoria 7;Subcategoria C7.1
FVZZC1.[1.->8WS-WQ=.(%;Fornecedor 65;Produto 9041;Categoria 7;Subcategoria C7.3
"C,JX%2+8$!Y""^P&18OQ`_.";Fornecedor 110;Produto 9042;Categoria 7;Subcategoria C7.1
"C,ZMX?7``Z8""^<ZJ-N^<K""";Fornecedor 251;Produto 9043;Categoria 7;Subcategoria C7.1
PD)6I-,]`W(M)0-B*UZ>.-;Fornecedor 251;Produto 9044;Categoria 7;Subcategoria C7.1
F<H%FQ/NXRS^Z`O*Z-,7E(;Fornecedor 65;Produto 9045;Categoria 7;Subcategoria C7.3
H_ED?&CB_[RSTD<:@7(8W-;Fornecedor 275;Produto 9046;Categoria 7;Subcategoria C7.1
"P.=$"":""T(]2G^JA;EA-4!,";Fornecedor 189;Produto 9047;Categoria 2;Subcategoria C2.2
"C^S;+""S[,XPO[@64GZ_GY,";Fornecedor 136;Produto 9048;Categoria 5;Subcategoria C5.3
"F7S`6,/U;VNL)""Z&39<TC/";Fornecedor 170;Produto 9049;Categoria 7;Subcategoria C7.1
P`%+EI>V:E3'KB)*>YSE4/;Fornecedor 30;Produto 9050;Categoria 2;Subcategoria C2.2
EG8'-A[+E.4XP@4K-NHBP*;Fornecedor 65;Produto 9051;Categoria 7;Subcategoria C7.3
PHZP>J%('8`/BTB?$IYWT#;Fornecedor 65;Produto 9052;Categoria 7;Subcategoria C7.3
"MKN+""V-=>X5ARX!D!'#R0,";Fornecedor 65;Produto 9053;Categoria 7;Subcategoria C7.3
B3-#.IE7_!)7U[VNILZ!#+;Fornecedor 137;Produto 9054;Categoria 5;Subcategoria C5.3
BU1JPG#NT&_WI0*.^@:7U#;Fornecedor 137;Produto 9055;Categoria 5;Subcategoria C5.3
FQU1DIQ3/T+,^RF=`--+O(;Fornecedor 110;Produto 9056;Categoria 7;Subcategoria C7.1
"P`E3&O63F.C'KJ6;LX1#9#";Fornecedor 30;Produto 9057;Categoria 2;Subcategoria C2.2
"MW8`/PC'&$#]3.""`,&//Y)";Fornecedor 190;Produto 9058;Categoria 2;Subcategoria C2.2
"MW`:)WI;$!S]3HBU.E$\5+";Fornecedor 195;Produto 9059;Categoria 2;Subcategoria C2.2
"G)/W^]LH^V`%Y""OSEU?U-'";Fornecedor 65;Produto 9060;Categoria 7;Subcategoria C7.3
"GCI@9U9@X4]EMA(F?*Y\`""";Fornecedor 65;Produto 9061;Categoria 7;Subcategoria C7.3
IF%O-CW<BQI/6,3[``SD^%;Fornecedor 319;Produto 9062;Categoria 5;Subcategoria C5.1
MO.ZFCZ+_7,]ESY7@]U(K0;Fornecedor 196;Produto 9063;Categoria 2;Subcategoria C2.2
BUQR1M[*`=EWI87?,@XTY';Fornecedor 137;Produto 9064;Categoria 5;Subcategoria C5.3
"FZS;M#>@'RR>OYXQC?]<U0";Fornecedor 65;Produto 9065;Categoria 7;Subcategoria C7.3
M1S8H<@%ISR=:`_EFRW@/*;Fornecedor 30;Produto 9066;Categoria 2;Subcategoria C2.2
"FH!E7G-CII\S]FR&YC>_""0";Fornecedor 65;Produto 9067;Categoria 7;Subcategoria C7.3
"C>J5""D2RCXHB.7$X>U4$>/";Fornecedor 162;Produto 9068;Categoria 7;Subcategoria C7.1
"M1[9^2^""%KO=:*&Y+3QR9(";Fornecedor 108;Produto 9069;Categoria 2;Subcategoria C2.2
"M[Q0!:;OH86]\#H3RPC`:-";Fornecedor 195;Produto 9070;Categoria 2;Subcategoria C2.2
F*^H?9M(5(S3RUQ66Z[KC(;Fornecedor 65;Produto 9071;Categoria 7;Subcategoria C7.3
B!MNR<6:KA_WDM@[-DQ6%-;Fornecedor 137;Produto 9072;Categoria 5;Subcategoria C5.3
"MSWN(0.B'XR].%YB>H;[E$";Fornecedor 186;Produto 9073;Categoria 2;Subcategoria C2.2
"N,LK;2`$,FB""]UR(QM_IS,";Fornecedor 122;Produto 9074;Categoria 5;Subcategoria C5.3
"N,D9#1R-9`8""]C?D]-HZD*";Fornecedor 122;Produto 9075;Categoria 5;Subcategoria C5.3
"M5<\'^#B:E,=#""E.(?AXW*";Fornecedor 26;Produto 9076;Categoria 2;Subcategoria C2.2
NNP!\%NAJJBBQZK%ICC$*';Fornecedor 122;Produto 9077;Categoria 5;Subcategoria C5.3
C6@/97IV<,RB@85'+M,?R!;Fornecedor 110;Produto 9078;Categoria 7;Subcategoria C7.1
C2WKYU%:K:8B):ZOL9V61';Fornecedor 197;Produto 9079;Categoria 7;Subcategoria C7.1
P&/0LXY5?(TGR_-X,E='Z*;Fornecedor 65;Produto 9080;Categoria 7;Subcategoria C7.3
"P&'/6""<8#1WGR)4+R%79$)";Fornecedor 65;Produto 9081;Categoria 7;Subcategoria C7.3
"P@IH$EV3""XC'57"",CD\J0/";Fornecedor 65;Produto 9082;Categoria 7;Subcategoria C7.3
M5'K%I0,T-ZD$ZJ)D,#R^,;Fornecedor 65;Produto 9083;Categoria 7;Subcategoria C7.3
"P"".V#3L35E]G)D(:I9^""U(";Fornecedor 65;Produto 9084;Categoria 7;Subcategoria C7.3
P<`SBXB]Y7]'L5=C!X2SQ);Fornecedor 65;Produto 9085;Categoria 7;Subcategoria C7.3
"B7NV9?;PK\;7>+]W0V$@!0";Fornecedor 137;Produto 9086;Categoria 5;Subcategoria C5.3
P^LD\R6N69MG@(#\%.?^O&;Fornecedor 65;Produto 9087;Categoria 7;Subcategoria C7.3
"G""*]%BUR'4M*S^>R4B_'+-";Fornecedor 101;Produto 9088;Categoria 7;Subcategoria C7.1
"G&;J<_NI@4J*N!5JB&A:^$";Fornecedor 218;Produto 9089;Categoria 7;Subcategoria C7.1
"B?0S+PN1+:O7P""(T7-#I+$";Fornecedor 137;Produto 9090;Categoria 5;Subcategoria C5.3
P8'L24CRB:0'#P1RX+Z<B);Fornecedor 65;Produto 9091;Categoria 7;Subcategoria C7.3
"PZCX[+[T90MGW^0""6B7)#""";Fornecedor 65;Produto 9092;Categoria 7;Subcategoria C7.3
"D&D8/;[CYRQ]E,<D&""!L2!";Fornecedor 65;Produto 9093;Categoria 7;Subcategoria C7.3
"PVJ?I<+PKDSG6F6?,4\;`#";Fornecedor 65;Produto 9094;Categoria 7;Subcategoria C7.3
"JRW&""-[A@%][""S7!<7/8;)";Fornecedor 65;Produto 9095;Categoria 7;Subcategoria C7.3
"JR':P$G6OB#[""/QXT7@9T)";Fornecedor 65;Produto 9096;Categoria 7;Subcategoria C7.3
J^Z4[]CH^N@[]A!3?Z]&Z$;Fornecedor 65;Produto 9097;Categoria 7;Subcategoria C7.3
"N8/@QR`T'XI""X$H5[3VBM!";Fornecedor 138;Produto 9098;Categoria 5;Subcategoria C5.3
PE`%')^8X^\\<J?ZQ]%X&';Fornecedor 188;Produto 9099;Categoria 2;Subcategoria C2.2
"P(D)))F]""X-FIS%E8_HJN-";Fornecedor 122;Produto 9100;Categoria 5;Subcategoria C5.3
"P(TMY+""LH#AFI7LM_^7I5-";Fornecedor 122;Produto 9101;Categoria 5;Subcategoria C5.3
"J(1TO(ZCBCI;\^@9K)+2_.";Fornecedor 65;Produto 9102;Categoria 7;Subcategoria C7.3
"MS*G]VPF(O#$0/2""NU4$%$";Fornecedor 65;Produto 9103;Categoria 7;Subcategoria C7.3
"M?]!9NNJ,9S$#7*0P;0]#'";Fornecedor 65;Produto 9104;Categoria 7;Subcategoria C7.3
N^<S48Z$Z%@B-6<@`5@D)(;Fornecedor 138;Produto 9105;Categoria 5;Subcategoria C5.3
"PD""YU.N[D,W'^$;.Z/S^M.";Fornecedor 65;Produto 9106;Categoria 7;Subcategoria C7.3
"HLFFD?DU""<SJS],:_R/-.""";Fornecedor 198;Produto 9107;Categoria 5;Subcategoria C5.3
"PJ(7(W;]53^&>PQ0""VNG`#";Fornecedor 137;Produto 9108;Categoria 5;Subcategoria C5.3
"BQ40AV==1E6^""ZL+6'%,<""";Fornecedor 198;Produto 9109;Categoria 5;Subcategoria C5.3
"P&.>S?PO,OSO'""EZ+TL(.'";Fornecedor 199;Produto 9110;Categoria 5;Subcategoria C5.1
"KY[M9""7_A3GXIRI/`]K%K""";Fornecedor 122;Produto 9111;Categoria 5;Subcategoria C5.3
IR89\_I6A*=F,+B1--.V?.;Fornecedor 55;Produto 9112;Categoria 5;Subcategoria C5.1
IR@K4!X-4PFF,=UU`LEEN0;Fornecedor 200;Produto 9113;Categoria 5;Subcategoria C5.1
PH2T33>,KSS/\&>W#J0#N,;Fornecedor 199;Produto 9114;Categoria 5;Subcategoria C5.1
"I4M3-VSAE:P&!T!7L""A/=(";Fornecedor 203;Produto 9115;Categoria 5;Subcategoria C5.1
PHB8$6ZZ0_&/\J$`JI_A+!;Fornecedor 199;Produto 9116;Categoria 5;Subcategoria C5.1
BI2M2VR24??^4A=E`?':*(;Fornecedor 198;Produto 9117;Categoria 5;Subcategoria C5.3
M5?NZ1I08IMDZMJ+R=9&V0;Fornecedor 53;Produto 9118;Categoria 5;Subcategoria C5.1
B'6I*$3MH`H>WD%3,>SY5+;Fornecedor 198;Produto 9119;Categoria 5;Subcategoria C5.3
"KU_,PA;$+PBLL;;!XFQB%)";Fornecedor 138;Produto 9120;Categoria 5;Subcategoria C5.3
KU7#YE%JCA_LL15N2&XP$&;Fornecedor 138;Produto 9121;Categoria 5;Subcategoria C5.3
K7LL'1?[0Q<,AJ:15]./F!;Fornecedor 138;Produto 9122;Categoria 5;Subcategoria C5.3
E_HLCT.JRM0S%K=).NF*9!;Fornecedor 198;Produto 9123;Categoria 5;Subcategoria C5.3
"IJ.33S`::>FF6C(;AFWF..";Fornecedor 52;Produto 9124;Categoria 5;Subcategoria C5.1
P,5_`K71G]'F*ZLCNMLHB);Fornecedor 122;Produto 9125;Categoria 5;Subcategoria C5.3
"IJN;TXXWEU,F6K5LOE5$3""";Fornecedor 58;Produto 9126;Categoria 5;Subcategoria C5.1
L1OUOW_U=5M1!&N`B>V8S.;Fornecedor 58;Produto 9127;Categoria 5;Subcategoria C5.1
"L1/^0]W2IL31!.[1Q=4VW""";Fornecedor 73;Produto 9128;Categoria 5;Subcategoria C5.1
"LSKYWI?;)TCQUX39GT""DQ+";Fornecedor 55;Produto 9129;Categoria 5;Subcategoria C5.1
M90DRT:D\`0DC!C8'J:-M#;Fornecedor 58;Produto 9130;Categoria 5;Subcategoria C5.1
KYPQEY<>8'0L5?YKPTV.J(;Fornecedor 138;Produto 9131;Categoria 5;Subcategoria C5.3
M--6Y#R=>7MD,!/_1UH09%;Fornecedor 57;Produto 9132;Categoria 5;Subcategoria C5.1
CF,5@>,C'WS%&)8.ECK%9&;Fornecedor 205;Produto 9133;Categoria 5;Subcategoria C5.1
"K;E%:`.`^N_,*@`DZGC`'%";Fornecedor 138;Produto 9134;Categoria 5;Subcategoria C5.3
"K;=S!_`(,)V,*.M`&(,1Y""";Fornecedor 138;Produto 9135;Categoria 5;Subcategoria C5.3
K]YNHKH1L^<L^X%(]>Z^R+;Fornecedor 138;Produto 9136;Categoria 5;Subcategoria C5.3
K])39N$`1<9L^<L0D>I]9+;Fornecedor 138;Produto 9137;Categoria 5;Subcategoria C5.3
"P"">#C.`S"")2)>3K=T22%X!";Fornecedor 5;Produto 9138;Categoria 1;Subcategoria C1.1
"E+SVWY)@S/4,)""6.NLV+D,";Fornecedor 122;Produto 9139;Categoria 5;Subcategoria C5.3
"E'*""6-V)KOM,@P6#P!19I(";Fornecedor 122;Produto 9140;Categoria 5;Subcategoria C5.3
"E'24N.$!>5W,@""JGCAH(X*";Fornecedor 122;Produto 9141;Categoria 5;Subcategoria C5.3
E'R</4\=IL=,@*WXQ@&&&*;Fornecedor 122;Produto 9142;Categoria 5;Subcategoria C5.3
B#]'7/K+OK?>RM/:1@7U:#;Fornecedor 198;Produto 9143;Categoria 5;Subcategoria C5.3
MOA0*Z[HBG`$!JN$QJ[I6/;Fornecedor 205;Produto 9144;Categoria 5;Subcategoria C5.1
J[A*&4^FGB'T^-P>9`P2<(;Fornecedor 219;Produto 9145;Categoria 5;Subcategoria C5.3
C,:7!Y5YB$TEC7#%-%7UE0;Fornecedor 182;Produto 9146;Categoria 5;Subcategoria C5.1
K]!!!MV(?V/L^*9LP^1N!.;Fornecedor 140;Produto 9147;Categoria 5;Subcategoria C5.3
"EI>\F#`4O_`L49V(/WCRF""";Fornecedor 122;Produto 9148;Categoria 5;Subcategoria C5.3
EI^$()XQZ6GL4A#:=V!PT!;Fornecedor 122;Produto 9149;Categoria 5;Subcategoria C5.3
L39)>:SU!3K(51J-U>+5A$;Fornecedor 198;Produto 9150;Categoria 5;Subcategoria C5.3
"OW#DV7#=]!]'^""#9(.[MB(";Fornecedor 198;Produto 9151;Categoria 5;Subcategoria C5.3
"J$*""[`,$I/S;ALY/X*N+S'";Fornecedor 58;Produto 9152;Categoria 5;Subcategoria C5.1
"C>:T]*=3"".-%84OPV[<RW&";Fornecedor 49;Produto 9153;Categoria 5;Subcategoria C5.1
C>J8N-Y!H9@%8X5Y=[+15+;Fornecedor 57;Produto 9154;Categoria 5;Subcategoria C5.1
F]092(K/*P#PP]08:[!'6$;Fornecedor 203;Produto 9155;Categoria 5;Subcategoria C5.1
"K]1EQO2W$""CL^N_T7^`LH-";Fornecedor 140;Produto 9156;Categoria 5;Subcategoria C5.3
F]PAS-CL5'JPP%>IHZ?D:(;Fornecedor 206;Produto 9157;Categoria 5;Subcategoria C5.1
"J$JY9[4G=X,;ADL^I+0.E(";Fornecedor 58;Produto 9158;Categoria 5;Subcategoria C5.1
K'$['SZ)HI64Z/]%Q?`^H+;Fornecedor 198;Produto 9159;Categoria 5;Subcategoria C5.3
L+GY]1T?381(G<!P&W\!`$;Fornecedor 198;Produto 9160;Categoria 5;Subcategoria C5.3
"LKQ7_?2.H3`Q'""RYAK8<*""";Fornecedor 78;Produto 9161;Categoria 5;Subcategoria C5.1
"LC7ME0-D[;VQ1VQZ.%3N;-";Fornecedor 185;Produto 9162;Categoria 5;Subcategoria C5.1
CB3\-O<>9+Z%!ZZA_GUH]+;Fornecedor 53;Produto 9163;Categoria 5;Subcategoria C5.1
"I8.E46)'DF`&&]*T:@4#G""";Fornecedor 201;Produto 9164;Categoria 5;Subcategoria C5.1
P.XL]Q1(?R0OUDZS&\C,J/;Fornecedor 54;Produto 9165;Categoria 5;Subcategoria C5.1
HX1^4,C6(4ZJ*8!IV&W6(-;Fornecedor 198;Produto 9166;Categoria 5;Subcategoria C5.3
LM[S.(^J7HDHR[N[U`'&'/;Fornecedor 198;Produto 9167;Categoria 5;Subcategoria C5.3
L!#S4:#9W+C1=-2UO/`4>#;Fornecedor 207;Produto 9168;Categoria 5;Subcategoria C5.1
"HTH:UJ_Y6B@JA&"">X;1D-)";Fornecedor 198;Produto 9169;Categoria 5;Subcategoria C5.3
"HTPL-L-Q)(JJA85""L[H3<+";Fornecedor 198;Produto 9170;Categoria 5;Subcategoria C5.3
"HTX^EM;H\MSJAJHF?;`""K-";Fornecedor 198;Produto 9171;Categoria 5;Subcategoria C5.3
H2,?.^7QV:0*HHEAU)^Z'+;Fornecedor 198;Produto 9172;Categoria 5;Subcategoria C5.3
"LC/;-/_L(VLQ1D>6;E[>#0";Fornecedor 201;Produto 9173;Categoria 5;Subcategoria C5.1
OLL2T0.G.ZVZP)WWGZ6#&!;Fornecedor 200;Produto 9174;Categoria 5;Subcategoria C5.1
"CX$@$O%&T:#E6-HN;+[^5!";Fornecedor 49;Produto 9175;Categoria 5;Subcategoria C5.1
"CX<6-SOK,,@E6#B;VJ!M+#";Fornecedor 60;Produto 9176;Categoria 5;Subcategoria C5.1
"I<W9V""==L&G&O.*_8+ZUA&";Fornecedor 57;Produto 9177;Categoria 5;Subcategoria C5.1
I^3F?ZT?C\#FC)]HK@D>W-;Fornecedor 276;Produto 9178;Categoria 5;Subcategoria C5.1
"I04#<,\Y""&=&8&I457J[_(";Fornecedor 49;Produto 9179;Categoria 5;Subcategoria C5.1
"J,R2C-^GL'G;;DKA^(/C,0";Fornecedor 49;Produto 9180;Categoria 5;Subcategoria C5.1
IFR__Q0_K:]B5R#R7X&:C$;Fornecedor 2;Produto 9181;Categoria 7;Subcategoria C7.1
"IF""DPTLM1F0B56JZ^WU8*$";Fornecedor 214;Produto 9182;Categoria 7;Subcategoria C7.1
"I\;1>PKO3$]""*W\N/NJTY.";Fornecedor 211;Produto 9183;Categoria 7;Subcategoria C7.1
"PEZ?^J\?4,@[8C""'_%_O4&";Fornecedor 65;Produto 9184;Categoria 7;Subcategoria C7.3
M5O!I)5%G&TDZ!WQ\>,J*-;Fornecedor 57;Produto 9185;Categoria 5;Subcategoria C5.1
"N^9_G!+;ES(^,&0.26`MM-";Fornecedor 142;Produto 9186;Categoria 3;Subcategoria C3.3
H$^$:Z(-<,RJ$KX3=:2>+0;Fornecedor 149;Produto 9187;Categoria 3;Subcategoria C3.3
FX%-Y]#L1V6SA%N<J3?6[);Fornecedor 65;Produto 9188;Categoria 7;Subcategoria C7.3
"H$F.1V>G#;5J$I_1&YVI%&";Fornecedor 143;Produto 9189;Categoria 3;Subcategoria C3.3
E]%[AHN@T%&3O5>+7:#:X);Fornecedor 149;Produto 9190;Categoria 3;Subcategoria C3.3
I:_5W#$GS\LB^1[3I&='A$;Fornecedor 175;Produto 9191;Categoria 7;Subcategoria C7.1
I>P+OFUZ740BGI.N>/%CM(;Fornecedor 261;Produto 9192;Categoria 7;Subcategoria C7.1
"E>H8]I5\W4:I0P;])#PX9$";Fornecedor 186;Produto 9193;Categoria 7;Subcategoria C7.1
"F&MJ&Q#8E9I3;1WTY%;PH*";Fornecedor 65;Produto 9194;Categoria 7;Subcategoria C7.3
"F+%'L;>\@!',S6;;RY`7J)";Fornecedor 84;Produto 9195;Categoria 7;Subcategoria C7.1
M1T[*/)\&@,!Y:EG^TOH4);Fornecedor 65;Produto 9196;Categoria 7;Subcategoria C7.3
PU'6YEN\HQLR]02:S(B7*#;Fornecedor 65;Produto 9197;Categoria 7;Subcategoria C7.3
JV(!0,YO(D)[K^F&%#-%^(;Fornecedor 65;Produto 9198;Categoria 7;Subcategoria C7.3
"G3(*T8X2(""3RW;9MO*IRW""";Fornecedor 65;Produto 9199;Categoria 7;Subcategoria C7.3
"M)JUA""@`_S5!G]Z@Y\F,G&";Fornecedor 65;Produto 9200;Categoria 7;Subcategoria C7.3
F/6%%$(M0P0,<.ZPN%Q=(,;Fornecedor 213;Produto 9201;Categoria 7;Subcategoria C7.1
"JZ)LO_@SE!4[*$""*O@NHV$";Fornecedor 199;Produto 9202;Categoria 5;Subcategoria C5.1
"J@7N0:J)!/4;H2M`6"":8#/";Fornecedor 202;Produto 9203;Categoria 5;Subcategoria C5.1
P]^/>7UE@@ERW1TB^?#YM%;Fornecedor 42;Produto 9204;Categoria 2;Subcategoria C2.2
JR_4$H'^'5G[<9?_E99'6(;Fornecedor 53;Produto 9205;Categoria 5;Subcategoria C5.1
"J4DS%AMWQ""W;1FE-L.;?Z!";Fornecedor 205;Produto 9206;Categoria 5;Subcategoria C5.1
"I$V[W_P9`[&""X1%7\V#['(";Fornecedor 211;Produto 9207;Categoria 7;Subcategoria C7.1
"J4$\FFE4]9=;1NR>Z-Y<(!";Fornecedor 77;Produto 9208;Categoria 5;Subcategoria C5.1
"JV@W-3-==AM[%9+FPDG*""*";Fornecedor 77;Produto 9209;Categoria 5;Subcategoria C5.1
IB)<@0MBZHCBL0J$].E,6-;Fornecedor 275;Produto 9210;Categoria 7;Subcategoria C7.1
"J@7>X8E0/AAQ/6`#!*Q;%!";Fornecedor 158;Produto 9211;Categoria 3;Subcategoria C3.3
F'$M#V0Z6>0,NA>D.=`GK0;Fornecedor 209;Produto 9212;Categoria 7;Subcategoria C7.1
"F'<C,ZZ?O/M,N[^90\U4(""";Fornecedor 282;Produto 9213;Categoria 7;Subcategoria C7.1
FEG@:^XW?HSLB4$]2S,3S(;Fornecedor 214;Produto 9214;Categoria 7;Subcategoria C7.1
"D15HBT5[@""F4`""C+`-/O.""";Fornecedor 146;Produto 9215;Categoria 3;Subcategoria C3.3
"D1U?!O=>5K_4`Z5ZQ.QQ`""";Fornecedor 146;Produto 9216;Categoria 3;Subcategoria C3.3
JV`_N8%ZHX3[%A8W^C%(0);Fornecedor 57;Produto 9217;Categoria 5;Subcategoria C5.1
JJ%S+>ZPFT#[F5L1ARQVK';Fornecedor 201;Produto 9218;Categoria 5;Subcategoria C5.1
EDK:*O<-5NT\0F14>J3XW/;Fornecedor 7;Produto 9219;Categoria 1;Subcategoria C1.1
"E""G$J[NPVIT<<A87FTO=A%";Fornecedor 13;Produto 9220;Categoria 1;Subcategoria C1.1
"B8P3^KEI6%M@P#*;`\7^O.";Fornecedor 198;Produto 9221;Categoria 5;Subcategoria C5.3
"P92H;`RGD@D(7?C4#YE>O#";Fornecedor 198;Produto 9222;Categoria 5;Subcategoria C5.3
"P[.]E]""'GMGHBX\0[DN9N(";Fornecedor 219;Produto 9223;Categoria 5;Subcategoria C5.3
"E[O31%?E$""7S<%28%"".T)!";Fornecedor 198;Produto 9224;Categoria 5;Subcategoria C5.3
H_5`N#'T9P?ST(#C'7W6>-;Fornecedor 60;Produto 9225;Categoria 7;Subcategoria C7.1
E9S@+>OYO1M3C?H*TP<M_.;Fornecedor 198;Produto 9226;Categoria 5;Subcategoria C5.3
E9[RC?]PBWV3CQ[NG0T\7,;Fornecedor 198;Produto 9227;Categoria 5;Subcategoria C5.3
DG&,9T^B[1OTY8RVT@$[\%;Fornecedor 146;Produto 9228;Categoria 3;Subcategoria C3.3
OM=<H9L-,-I(SAN6PM?30-;Fornecedor 167;Produto 9229;Categoria 7;Subcategoria C7.1
POC4S%4L*'4HO4K+@^A?6%;Fornecedor 198;Produto 9230;Categoria 5;Subcategoria C5.3
EV81I'P6?Q2I=8BA=C!_I';Fornecedor 99;Produto 9231;Categoria 7;Subcategoria C7.1
"EVP8T6*V.CEI=2.2F%_UA""";Fornecedor 270;Produto 9232;Categoria 7;Subcategoria C7.1
H#_T0P:*B0&S+W#8)L1DC);Fornecedor 217;Produto 9233;Categoria 7;Subcategoria C7.1
"J:RT[P`H/$\1__<_6""*SY#";Fornecedor 266;Produto 9234;Categoria 3;Subcategoria C3.3
ND'*JA,.,8O>OO7&<UV@</;Fornecedor 142;Produto 9235;Categoria 3;Subcategoria C3.3
H#?LOJBM6Y?S+_0I7KOAQ(;Fornecedor 217;Produto 9236;Categoria 7;Subcategoria C7.1
HESF`@LX:)S376QCXU<(T.;Fornecedor 103;Produto 9237;Categoria 7;Subcategoria C7.1
"HEK4H?>!HCI37H$(L5TW""!";Fornecedor 103;Produto 9238;Categoria 7;Subcategoria C7.1
E5B1PJ5/IT63Z3].MCYC6+;Fornecedor 198;Produto 9239;Categoria 5;Subcategoria C5.3
G0M=M=WFI0[XCC0?['.^P&;Fornecedor 145;Produto 9240;Categoria 3;Subcategoria C3.3
G05XFD]ZG?4XCM6R@H'PQ);Fornecedor 145;Produto 9241;Categoria 3;Subcategoria C3.3
PO[YY^-8,XZHO*EXZ=H-,';Fornecedor 198;Produto 9242;Categoria 5;Subcategoria C5.3
NVGO'Y+%WXN^ZJ>)D_2F\);Fornecedor 149;Produto 9243;Categoria 3;Subcategoria C3.3
"FSD<!&JL9!LH(""_&&Z[,>$";Fornecedor 198;Produto 9244;Categoria 5;Subcategoria C5.3
"E1Q;X'D[$=S3U6S&[';V)#";Fornecedor 198;Produto 9245;Categoria 5;Subcategoria C5.3
FDU^,7,%4`)^P])#YLW2U!;Fornecedor 301;Produto 9246;Categoria 5;Subcategoria C5.3
"D""(;Z4?`""S*',EN-!(\;P""";Fornecedor 3;Produto 9247;Categoria 1;Subcategoria C1.1
"D@K.1='^+]MG7&5;'SB4]&";Fornecedor 3;Produto 9248;Categoria 1;Subcategoria C1.1
"BHT,B-,L5`3@,5TBR.;,E!";Fornecedor 198;Produto 9249;Categoria 5;Subcategoria C5.3
"B""7F0PFG4G``7L4=39(SG'";Fornecedor 198;Produto 9250;Categoria 5;Subcategoria C5.3
GJGMD$\'!I$8OPJ&WQ!3I.;Fornecedor 144;Produto 9251;Categoria 3;Subcategoria C3.3
K-#&XWMA)??TC>D0A+,MX.;Fornecedor 143;Produto 9252;Categoria 3;Subcategoria C3.3
"K-39FO968\ETC""+9(+[+6#";Fornecedor 143;Produto 9253;Categoria 3;Subcategoria C3.3
D@[R!@CLQ(!G7BN2@SS56';Fornecedor 3;Produto 9254;Categoria 1;Subcategoria C1.1
"DV$-!DVYD)G'UXF:64]""Q0";Fornecedor 2;Produto 9255;Categoria 1;Subcategoria C1.1
DV,]4/D]I27'U6Y3&VI8&0;Fornecedor 2;Produto 9256;Categoria 1;Subcategoria C1.1
F5IRAY7)X%L(4]%*.$8R'*;Fornecedor 198;Produto 9257;Categoria 5;Subcategoria C5.3
F1@&A2\/[\K(/:<W='OQ7#;Fornecedor 198;Produto 9258;Categoria 5;Subcategoria C5.3
G(S[T3J9(P7XU<4=9`G[M.;Fornecedor 148;Produto 9259;Categoria 3;Subcategoria C3.3
D4P2PMLN@Y3G`74F%>('X*;Fornecedor 2;Produto 9260;Categoria 1;Subcategoria C1.1
GJW15'8VFT78O$WL!ST6T/;Fornecedor 144;Produto 9261;Categoria 3;Subcategoria C3.3
A:@8:+-K3@'W4!=/`!C`V#;Fornecedor 150;Produto 9262;Categoria 3;Subcategoria C3.3
